word,tfidf,tf
socket sendmsg,17.176379048891143,20.54495408256766
ioctl ioctl,16.086373303793405,23.262262348702322
openat ioctl,13.99576475541134,18.031210051424186
bpf bpf,13.993398484988688,16.943896590165693
socket setsockopt,12.997131432484808,15.742914944294027
socket ioctl,8.488851588323493,11.938118158568084
socket socket,7.865425028845264,11.280562388905054
ioctl ioctl ioctl,7.4855225659137865,8.344062969309881
openat ioctl ioctl,5.922362047022505,6.0079905375861875
syz_mount_image open,5.529814024660718,7.6586688140277515
openat write,5.490818753384973,6.581916775647362
syz_open_dev ioctl,5.356832506741946,6.81766798166139
socket bind,5.221951761284213,6.9392141822181985
mmap socket,4.465915397865023,5.551901057316893
syz_mount_image openat,4.356661959057465,4.56217479596706
socket connect,4.188189200513971,4.821207444776063
syz_genetlink_get_family_id sendmsg,4.1038011137141766,4.3472754856764135
bpf bpf bpf,4.00016282437418,3.898394031648178
socket syz_genetlink_get_family_id,3.991994340362956,4.111573225280897
connect sendmmsg,3.8557563718281482,4.409776165548618
sendmsg sendmsg,3.8305250531857977,4.317342950862249
socket syz_genetlink_get_family_id sendmsg,3.8076375555834363,3.7782398919475635
sendmsg socket,3.582293533320213,4.168435904035937
syz_mount_image syz_mount_image,3.4037027921644794,3.437028502806376
mkdir mount,3.3386378373445718,3.9271293683181283
getsockname sendmsg,3.3145532893200915,3.60562515935167
socket socket sendmsg,3.2353618802187842,3.5563894583407416
ioctl ioctl ioctl ioctl,3.1962779798659935,3.169817051197719
openat openat,3.116873748369159,3.5567375864864688
ioctl sendmsg,3.064352981019455,3.6306725907277864
ioctl socket,3.042424223414882,3.5439467848081367
socket connect sendmmsg,3.029751110769318,3.0742270066118316
mmap openat,2.990581668387454,3.2735693328420448
openat ioctl ioctl ioctl,2.9460305202779966,2.5686418133616624
socket socket sendmsg getsockname,2.8980281435453543,3.032012063350413
sendmsg getsockname,2.8980281435453543,3.032012063350413
socket sendmsg getsockname,2.8980281435453543,3.032012063350413
sendmsg getsockname sendmsg,2.7738449553226254,2.8358959282122287
socket sendmsg getsockname sendmsg,2.7738449553226254,2.8358959282122287
mmap socket setsockopt,2.633607295426196,2.2517800423826335
bpf socket,2.572090565160598,2.8463072035824983
mmap ioctl,2.492631911428125,2.9820445479597804
ioctl syz_open_dev,2.474681502944199,2.4845575227487395
syz_mount_image creat,2.411065256000334,2.628428200810109
syz_open_dev mmap,2.3897215035088872,2.3885662248680593
socket sendmsg sendmsg,2.319604679086482,2.1558895876065707
write write,2.271075670720994,2.593707991334796
socket socket ioctl,2.2436005669602435,2.167243512251326
ioctl write,2.1975462584592056,2.534014435673432
bind setsockopt,2.1289500478226016,2.518999392608587
ioctl syz_open_dev ioctl,2.10570461385825,2.026358633001578
setsockopt connect,2.0935214465209335,2.299216222467493
socket ioctl socket,2.083248907796703,2.02315523842856
bpf bpf bpf bpf,2.0641858337100216,1.9398626997725168
ioctl bind,2.062844383961787,2.085810797460904
socket ioctl sendmsg,2.0241865733867415,1.9601957535937675
sendmsg socket sendmsg,1.9997252232118206,1.8482766677067768
ioctl openat,1.956424846165971,2.1772817450922024
socket bpf,1.8844739223794242,2.0827662725436786
syz_emit_vhci syz_emit_vhci,1.8820594059608444,1.8944271909999157
setsockopt setsockopt,1.858722870051942,2.107144302559581
syz_open_dev syz_open_dev,1.8551621840554553,1.9876483582186781
socket setsockopt connect,1.851014755693325,1.9658828891341593
socket socket setsockopt,1.8505571172932735,1.8984241463964449
open ftruncate,1.807685256147712,2.1258734877430525
ioctl socket sendmsg,1.7914189448791142,1.6064655521499873
socket bind setsockopt,1.7905223401173014,2.0121063677777813
fsopen fsconfig,1.7831412259949118,1.8164965809277263
socket getsockopt,1.7612588540223317,1.8386040073377632
syz_open_dev ioctl ioctl,1.7557913058036207,1.7065532941151926
socket socket socket,1.7377801966674886,1.5494215232308273
connect bpf,1.6907595802413236,1.6774247113123781
bpf socket socket,1.679054307924178,1.6774247113123781
socket sendmsg socket,1.6718158913976462,1.5778739191039861
open fallocate,1.6683427044114707,1.9401109910665602
mmap madvise,1.6542798516287787,1.7320508075688774
syz_mount_image chdir,1.648114091801656,1.9490234649485139
socket ioctl socket sendmsg,1.641473199538147,1.3828587544000082
ioctl syz_kvm_setup_cpu,1.6403888573566316,1.5617639502024967
ioctl ioctl syz_kvm_setup_cpu,1.6403888573566316,1.5617639502024967
socket ioctl bind,1.6371248381345764,1.5757850388260655
setsockopt socket,1.634355477593538,1.800479999235593
mmap bpf,1.631270840643841,1.5773502691896257
setsockopt sendto,1.6149071376271147,1.6802332298726348
syz_io_uring_submit io_uring_enter,1.6086700707056871,1.8216713017029922
socket socket setsockopt connect,1.586169216850848,1.5650908130631116
openat mmap,1.5717651526961054,1.5850249857605
bind bind,1.5644810035458314,1.527446307043897
syz_emit_ethernet socket,1.551341131023452,1.577130782733983
ioctl setsockopt,1.5269912772940373,1.6496030057839544
perf_event_open openat,1.5240043738549438,1.6152581228026373
userfaultfd ioctl,1.511166915887569,1.5718850193267748
socket setsockopt connect bpf,1.4978458791593392,1.419225821565217
setsockopt connect bpf,1.4978458791593392,1.419225821565217
