word,tfidf,tf
socket sendmsg,30.380385647976354,34.846563283555525
ioctl ioctl,15.310123188650607,20.642742658999815
openat ioctl,12.460353655157176,16.457838709321415
socket setsockopt,12.146183923264463,16.84892706201937
socket ioctl,10.725056773645514,13.921062827797876
bpf bpf,10.177564652337363,12.254370783199478
socket bind,8.7192999952308,14.56454310094128
socket socket,8.60170767320973,12.593621229137387
syz_open_dev ioctl,8.507876504414003,9.998236541874375
openat ioctl ioctl,7.658281846345511,7.872931558291801
openat write,7.11079352345329,8.45358236267364
syz_genetlink_get_family_id sendmsg,7.028651088433955,7.9918315904969335
mmap socket,6.244258327626562,8.155513748266353
write write,6.039462601233342,6.886453504931458
mmap bpf,5.939920311860102,5.972909722885476
syz_init_net_socket sendmsg,5.586142759003217,5.732050807568878
ioctl ioctl ioctl,5.438339220163809,5.475950137092506
socket syz_genetlink_get_family_id,5.250501054106316,5.896190691202712
mkdir mount,4.910658116499123,5.578804146888613
setsockopt setsockopt,4.8358552793541785,6.422201750929047
socket connect,4.8250705212179295,5.466422493852952
sendmsg socket,4.265232647027586,4.589544383930731
socket syz_genetlink_get_family_id sendmsg,4.093632076474256,3.844469949241221
ioctl sendmsg,4.089795369054151,4.986153028037897
openat write write,3.9158841119714576,3.7617735098551646
bind setsockopt,3.619558237703438,4.433057624396155
bpf bpf bpf,3.610462405324922,3.444526763568227
syz_mount_image open,3.5918456223714488,4.380633535745127
syz_mount_image mount,3.562970693624889,3.5773502691896257
openat ioctl ioctl ioctl,3.4462407985620427,3.1324406777022586
syz_init_net_socket syz_genetlink_get_family_id,3.3639624202010676,3.220084679281462
syz_init_net_socket syz_genetlink_get_family_id sendmsg,3.3639624202010676,3.220084679281462
bpf socket,3.3490777005211836,3.965279074056707
connect sendmmsg,3.3046819119615134,3.667901057910011
syz_open_dev ioctl ioctl,3.263424762241686,2.945251523924488
bind connect,3.2545519207368083,3.7678671490485285
syz_usb_connect syz_usb_control_io,3.2491617516517612,3.3972361634155845
socket sendmsg socket,3.229529019773815,2.886412258137609
sendmsg socket sendmsg,3.2291895237354327,2.8525291630270755
sendmsg sendmsg,3.2168340052705333,3.7026499805564677
ioctl socket,3.1827213183376766,3.893364363064699
socket socket setsockopt,3.10960040223679,3.1475181069956846
setsockopt sendmsg,3.033408367195653,3.320904325635958
syz_init_net_socket connect,3.0266076394695136,3.3680478044970523
socket bind setsockopt,3.0109347920401266,3.5223740218731945
setsockopt connect,2.8571191428741742,3.2975275836591025
mount mount,2.824826547009957,3.269718555249918
getsockname sendmsg,2.757670171601048,2.9082934083994014
socket sendmsg socket sendmsg,2.72607629313275,2.1213203435596424
ioctl openat,2.6257043656982777,2.71709071191342
mmap socket setsockopt,2.533325541621592,2.206899379702494
socket connect sendmmsg,2.5268400511180755,2.562729342387472
socket bind connect,2.466785584582515,2.6214812861300536
socket listen,2.4663014369743195,2.8018756541255723
socket socket ioctl,2.4572601923184734,2.4595107394338616
syz_mount_image openat,2.4397918477503877,2.4433756729740645
mmap socket bind,2.425779298037855,2.759715680911623
sendmsg getsockname,2.3166302774115937,2.3167611853189065
socket socket sendmsg,2.3133644763425933,2.330109198281713
socket setsockopt connect,2.242452707334328,2.426956258216147
sendmsg getsockname sendmsg,2.192728394262459,2.1206450501807224
ioctl syz_open_dev,2.0777045056729904,2.124482353658822
socket sendmsg getsockname sendmsg,2.0720812817637677,1.931662813676109
socket sendmsg getsockname,2.0720812817637677,1.931662813676109
ioctl bind,2.032700504696138,2.145317222918157
socket setsockopt setsockopt,2.006994401006069,2.1488207388889693
syz_mount_image syz_clone,2.0,2.0
listen shutdown,1.9965958416869813,2.135428473914548
socket listen shutdown,1.9965958416869813,2.135428473914548
bpf bpf bpf bpf,1.9561818552093544,1.6711138139627078
bind listen,1.9321880203783672,2.3039475896319175
syz_io_uring_setup io_uring_register,1.9052494953364623,1.9855985596534889
ioctl openat ioctl,1.89796626462903,1.6470779913113414
socket ioctl sendmsg,1.8788450590987484,1.8403571709139535
ioctl ioctl ioctl ioctl,1.8741827430839693,1.532699592515925
socketpair ioctl,1.8160328166025599,1.9542972965626761
syz_genetlink_get_family_id syz_init_net_socket,1.800576456035908,1.7320508075688776
syz_genetlink_get_family_id syz_init_net_socket sendmsg,1.800576456035908,1.7320508075688776
bpf socket socket,1.770909679994584,1.7669616095690444
setsockopt sendto,1.755865910578058,1.9620747221642723
socket ioctl socket,1.7477868308241273,1.6101376392850653
connect bpf,1.733483760804247,1.7570270993341095
syz_init_net_socket bind,1.7321729988182075,1.8020951405812151
ioctl write,1.7099434983921036,1.8552830728415137
write write write,1.70561324270411,1.5352894699180804
socket sendmmsg,1.7027923793508581,1.710156011973344
setsockopt listen,1.6921471739065328,1.5629488288431148
setsockopt accept,1.679593008382921,1.7623989695268372
socket socket sendmsg getsockname,1.6712595906641154,1.5234145232122458
syz_init_net_socket ioctl,1.6640620071344387,1.6666666666666665
bpf socket socket setsockopt,1.6627141323288994,1.5928839536133466
setsockopt getsockopt,1.6230340418331133,1.69260073780055
ioctl setsockopt,1.6190927556220995,1.8359250899110544
syz_kvm_setup_cpu ioctl,1.6138971670042697,1.581672967400749
sendmmsg bind,1.5888538932939977,1.6329931618554523
openat mount,1.588110739124742,1.759860168930202
ioctl socket sendmsg,1.5667819647486803,1.485240110886028
ioctl syz_open_dev ioctl,1.5555040035203997,1.503033346839349
setsockopt syz_emit_ethernet,1.5411859113822328,1.412899428126413
socket bind listen,1.5322621500085964,1.6293544452788349
socketpair setsockopt,1.5258042006135695,1.5629488288431148
socket bind setsockopt accept,1.522376114253593,1.526696709131321
bind setsockopt accept,1.522376114253593,1.526696709131321
mmap socket bind setsockopt,1.522376114253593,1.526696709131321
open ftruncate,1.4414360462291158,1.6132437208828045
socket setsockopt connect bpf,1.4388969035291592,1.3346850638661854
connect bpf bpf,1.4388969035291592,1.3346850638661854
bpf bpf setsockopt,1.4388969035291592,1.3346850638661854
setsockopt connect bpf bpf,1.4388969035291592,1.3346850638661854
setsockopt connect bpf,1.4388969035291592,1.3346850638661854
