word,tfidf,tf
socket sendmsg,33.05617402378292,37.39755774593408
bpf bpf,17.057606364174863,19.357704704190464
socket setsockopt,11.550554088976558,15.849702922649776
syz_open_dev ioctl,10.0889616307904,10.94486981988812
openat ioctl,9.44512363732532,11.028738414518768
socket ioctl,8.647694604341233,10.465044791817427
syz_mount_image open,8.27777708568896,9.123503884018286
add_key add_key,8.258930450297841,8.472477337479315
socket bind,7.587604992566276,9.757608305836591
openat write,6.86646878463932,7.929921606409311
socket socket,6.832021365550283,9.234595986005854
syz_mount_image openat,6.381837183424876,7.591215413591527
add_key add_key add_key,5.217383531130025,5.259603467236211
ioctl ioctl,4.933765609521022,5.706223880099563
mmap socket,4.803931823676442,5.5303906410076715
sendmsg socket,3.959209011608529,4.389092329910102
syz_usb_control_io syz_usb_control_io,3.421056945647594,3.632556722274943
mmap socket setsockopt,3.384643089675146,3.2546264904945823
socket syz_genetlink_get_family_id,3.3653758351824803,3.626851658925366
setsockopt setsockopt,3.344646026951055,3.8411266593643436
getsockname sendmsg,3.1266286555683394,3.399917107449225
add_key add_key add_key add_key,3.101995794996661,3.0467295969931047
setsockopt connect,3.0965839320432704,3.628226715253324
socket socket sendmsg,2.987263465050748,2.7732375809202128
sendmsg sendmsg,2.9552049845144523,2.965170289182672
setsockopt sendto,2.9356890016132136,3.156112690790115
openat ioctl ioctl,2.8745112149045373,2.9083242603379285
syz_usb_connect syz_usb_control_io,2.8560674480988246,3.0904883357665356
syz_mount_image syz_mount_image,2.8538080867944693,2.9427707742887117
syz_genetlink_get_family_id sendmsg,2.796191494610485,2.8446494942225566
socket syz_genetlink_get_family_id sendmsg,2.7725382024195375,2.7176493672223665
socket connect,2.7580057492071988,3.063394026334985
sendmsg socket sendmsg,2.7229524921783246,2.350569584861956
socket setsockopt connect,2.583601801299041,2.7216870058216407
socket sendmsg socket,2.5715695566429693,2.306122695324158
socket setsockopt setsockopt,2.5675269741315785,2.5365551574781557
bind getsockname,2.5288989433234126,2.758460937886116
socket bpf,2.524772912525204,2.6106456633443957
bpf bpf bpf,2.5203010842587936,2.448033253452852
socket setsockopt sendto,2.481141656886323,2.3187124065311795
ioctl sendmsg,2.470427940258418,2.7755009990403403
syz_usb_connect syz_usb_control_io syz_usb_control_io,2.4151837321753216,2.51313806657691
socketpair socket,2.396859561567294,2.5180320274043795
socket bind getsockname,2.3433139475253335,2.4014908649724336
bpf socket,2.3344667534630226,2.563851717372061
sendmsg getsockname,2.3272501827368437,2.195887311730587
sendmsg getsockname sendmsg,2.3272501827368437,2.195887311730587
socket sendmsg getsockname sendmsg,2.3272501827368437,2.195887311730587
socket sendmsg getsockname,2.3272501827368437,2.195887311730587
socket socket sendmsg getsockname,2.3272501827368437,2.195887311730587
syz_usb_connect syz_usb_ep_write,2.2392850341878265,2.2672612419124243
openat openat,2.2086617471610674,2.3485799619815806
socket sendmsg socket sendmsg,2.197302806124354,1.7157249069508587
bind setsockopt,2.1912223835058047,2.4955745142973065
socket bpf bpf,2.1823731948159404,2.1498921480720705
add_key keyctl,2.1751601834998135,2.212873870243106
add_key add_key add_key keyctl,2.1751601834998135,2.212873870243106
add_key add_key keyctl,2.1751601834998135,2.212873870243106
socket socket setsockopt,2.1277050102206094,2.2899284245770075
ioctl syz_open_dev,2.1073290520397827,2.0806607425841195
socket ioctl sendmsg,2.0453971350576747,2.038103784461951
sendto socket,2.0409341988473333,2.039365608826268
socketpair socket bpf,2.040675893966288,1.9316742578360782
socketpair socket bpf bpf,2.040675893966288,1.9316742578360782
