word,tfidf,tf
socket sendmsg,23.78916784200493,28.238526468807226
bpf bpf,12.725103936453412,14.370629015319782
openat ioctl,11.893683091824945,15.762867910338025
ioctl ioctl,11.250910311187049,16.646792136496877
socket setsockopt,10.646864121962407,16.19380458320329
syz_open_dev ioctl,10.545883170461922,12.729511533264056
socket ioctl,9.12677459720128,13.483637764182058
syz_genetlink_get_family_id sendmsg,8.992819171038073,9.860955039260462
socket socket,8.75726323671806,13.136846740867103
socket syz_genetlink_get_family_id sendmsg,8.106378797409223,8.178433054548295
socket syz_genetlink_get_family_id,8.091018497257314,8.436678313774149
openat write,7.2003360534546745,8.892673949374132
syz_usb_connect syz_usb_control_io,6.86889607045074,7.242160836198847
socket connect,6.094410151756522,8.287967670011213
openat ioctl ioctl,5.288981087961407,5.472599849938714
sendmsg sendmsg,5.102959505377032,5.768213813737189
write write,4.836064565281253,5.33600947942172
sendmsg socket,4.7114655498902,5.539858539348646
mmap socket,4.6211963263968725,5.888380010891347
syz_mount_image open,4.493241844775403,5.2084335113845945
socket bind,4.474386937036088,6.247888803094815
syz_init_net_socket connect,4.290969528513261,4.919916793628812
socket sendto,3.963744433202323,4.662482377860192
setsockopt setsockopt,3.9226075641209657,5.218506110650282
ioctl bind,3.9175843681304308,4.683326672259058
ioctl socket,3.7716202289536875,4.859099592651502
setsockopt socket,3.754163464521427,4.492076897939118
socket sendmsg socket,3.682814460923818,3.666195418002386
connect sendmmsg,3.5459179408350208,3.8489094636039054
ioctl openat,3.4532278123374414,4.156537273347572
socket ioctl bind,3.4278843794761067,3.833595559431403
ioctl syz_open_dev,3.2907691895891356,3.7982224426192697
sendmsg socket sendmsg,3.275972039186903,2.8186621023380094
syz_mount_image creat,3.2596131137120836,3.4620153396366424
ioctl ioctl ioctl,3.0732734156173755,3.093054068749536
setsockopt sendto,3.0193898523869063,3.6365590868022424
setsockopt connect,2.969620588619884,3.425859971353286
bpf bpf bpf,2.9540383547769338,2.575751087743168
socket connect sendmmsg,2.926676251500283,3.032412882676179
mmap socket setsockopt,2.8731113827836605,2.7742007650122256
socket socket ioctl,2.8308453128636226,3.050732761481414
socket setsockopt connect,2.7996524419854114,3.060915325113746
openat openat,2.799471320332014,3.1612132451016963
socket sendmsg socket sendmsg,2.7756346986106744,2.1213203435596424
syz_io_uring_submit io_uring_enter,2.7224751501261544,3.4031515703296824
ioctl mmap,2.6292489592085753,2.762590551379937
write write write,2.565719568213398,2.661641635972963
socket setsockopt socket,2.560431626751156,2.576608623440321
syz_usb_connect_ath9k syz_usb_ep_write,2.534018848760396,2.5773502691896257
