word,tfidf,tf
socket sendmsg,51.137229438184974,61.27419673252098
bpf bpf,26.597623216783827,29.52831957493277
ioctl ioctl,24.449785835037265,35.12940253488136
openat ioctl,23.686268283454947,33.44191569481451
socket setsockopt,21.703029381796544,29.83133469786416
syz_open_dev ioctl,19.96119261017338,23.119038512092626
openat write,15.346955804787253,18.30680350833699
socket socket,14.623885812322943,21.780455737366264
socket ioctl,13.88921271326256,19.94612752447202
openat ioctl ioctl,12.166960623315173,12.700102192909718
socket bind,11.96280134367415,16.80509112091909
mmap socket,10.879035703043435,13.962768616811402
socket connect,10.22091821344081,13.994295077927898
sendmsg sendmsg,9.081732868381485,11.0060928056844
syz_mount_image open,8.906093519322553,9.83017183156788
ioctl ioctl ioctl,8.576117037115276,8.744271305564872
socket syz_genetlink_get_family_id,8.13227647132859,9.81355302410911
ioctl sendmsg,7.642697430257173,9.431957971996994
getsockname sendmsg,7.595592641217204,9.151794701256021
sendmsg socket,7.320865363832479,9.303180678233362
syz_usb_connect syz_usb_control_io,7.219367002019158,7.643968688579159
mkdir mount,6.717810659770106,8.37834656643942
socket socket sendmsg,6.156066932628251,6.797507827238198
ioctl socket,6.114529330208617,7.667186767001707
sendmsg getsockname,6.0766802695683815,6.7621550804103725
socket sendmsg getsockname,5.768021638625063,6.207413912104509
syz_genetlink_get_family_id sendmsg,5.729322324206479,6.34050554678507
setsockopt setsockopt,5.626567798689372,7.007247890257365
sendmsg getsockname sendmsg,5.4191490147530645,5.704090613039339
bpf bpf bpf,5.373329556125462,4.7951051060231435
socket socket sendmsg getsockname,5.308653595662727,5.45531387221467
mmap syz_open_dev,5.278258927629507,5.682696917739677
socket sendmsg getsockname sendmsg,5.201501515664433,5.338331681238089
syz_mount_image openat,5.147039823130176,5.274273694248302
write write,5.118138990544564,5.720941245976356
mmap socket setsockopt,4.80040342083248,4.243905583191719
connect setsockopt,4.6891739928014315,5.301965594555778
setsockopt sendmsg,4.4869295259787805,4.32971410757571
ioctl syz_kvm_setup_cpu,4.215673727223442,4.2698933745914225
sendmsg socket sendmsg,4.148403802440832,3.9323757724407598
socket setsockopt sendmsg,4.132889279887415,3.7032479268758554
ioctl syz_open_dev,4.101898652797243,4.537245595060803
connect sendmmsg,4.077741584419287,4.41388961243732
socket ioctl sendmsg,3.9202704180924064,3.8199788698447805
syz_kvm_setup_cpu ioctl,3.8667379479616226,3.6542027533774553
socket syz_genetlink_get_family_id sendmsg,3.8407822643002776,3.5044774644991548
ioctl ioctl syz_kvm_setup_cpu,3.8057601534562076,3.6376168792341
getsockname sendmsg sendmsg,3.770330591433071,3.7707406293458616
ioctl ioctl ioctl ioctl,3.7340098667791093,3.1449983107688855
socket syz_genetlink_get_family_id ioctl sendmsg,3.7198785238527234,3.9139743771740765
socket syz_genetlink_get_family_id ioctl,3.7198785238527234,3.9139743771740765
syz_genetlink_get_family_id ioctl,3.7198785238527234,3.9139743771740765
syz_genetlink_get_family_id ioctl sendmsg,3.7198785238527234,3.9139743771740765
syz_open_dev write,3.7098289681565673,4.055079291797837
mmap syz_open_dev ioctl,3.7055645090325133,3.4530814222298947
ioctl openat,3.65722630845271,4.419860304787819
socket connect sendmmsg,3.575118724874216,3.5592982566844977
socket sendmsg sendmsg,3.55886938250081,3.4300497347812873
mmap socket sendmsg,3.506563405305277,3.121027033568037
openat ioctl ioctl ioctl,3.500021827737197,2.956179034496013
socket socket socket,3.4722483706961347,3.1684072357630177
ioctl write,3.4429541740344476,3.934254861364698
setsockopt sendto,3.378179616730044,4.219253776776293
socket sendmsg socket,3.3643053678490538,3.2076601800009756
sendmsg getsockname sendmsg sendmsg,3.328787492168584,3.076391755772312
openat openat,3.317438337645052,4.139961685551982
socket connect setsockopt,3.293243197504271,3.1940661472055196
syz_usb_control_io syz_usb_control_io,3.292908192911781,3.362677401261335
socket socket ioctl,3.276185363851389,3.3369406727659365
syz_kvm_setup_cpu ioctl ioctl,3.1326227694507423,2.7409791531793983
mmap openat,3.123872423500387,3.5017297610100773
ioctl syz_kvm_setup_cpu ioctl,3.123330375122741,2.6908936178729403
socket ioctl socket,3.1035645080311296,3.206679919527521
bpf socket,3.008285952614895,3.598301810275138
membarrier membarrier,3.0,3.0
syz_usb_connect openat,3.0,3.0
bind sendmsg,2.9807493608376046,2.935786696517974
syz_usb_connect syz_usb_control_io syz_usb_control_io,2.9584673863128237,3.0091240106680615
ioctl ioctl syz_kvm_setup_cpu ioctl,2.9432020122688027,2.4984435281430653
socket setsockopt setsockopt,2.9122169180623123,3.1924838169684406
syz_open_dev ioctl syz_open_dev,2.8850380845050685,2.862679702662373
ioctl syz_open_dev ioctl,2.867290739177412,2.7839390279569587
setsockopt socket,2.86139880616118,3.2691012895462146
openat write write,2.8545969941602536,2.8522987808165765
sendmsg sendmsg socket,2.8530743722009366,2.72349027749026
setsockopt connect,2.7962498124052497,3.255707633876728
ioctl bind,2.7798053600887376,3.1604355127787587
openat ioctl ioctl syz_kvm_setup_cpu,2.776298204635225,2.3303111732135307
bpf bpf bpf bpf,2.7255517754772653,2.3567696011438857
ioctl syz_kvm_setup_cpu ioctl ioctl,2.717017044624603,2.255907903106732
syz_init_net_socket syz_genetlink_get_family_id,2.712114962645216,2.864074163224424
mmap ioctl,2.6738279557570466,3.0899419567203004
bind sendto,2.66317039112687,3.2239583323948646
perf_event_open ioctl,2.65612789997189,2.880159052235635
bind connect,2.6338749515767863,2.980551359156386
mmap socket bind,2.6183720753543334,2.554195180471053
write ioctl,2.6074079926366194,2.881408395637821
syz_io_uring_submit io_uring_enter,2.589284579823988,3.2387108504252566
socket sendmsg socket sendmsg,2.564733903501388,2.060211767786975
setsockopt bind,2.556733892570065,3.034287532162972
ioctl socket sendmsg,2.4714735015805847,2.1471719493350796
socket socket socket sendmsg,2.4398857550680755,2.1241348275345575
perf_event_open bpf,2.431402478445134,2.5957619342480722
syz_mount_image syz_mount_image,2.4110224435089247,2.4536434898728254
bind socket,2.4022819594518934,2.499286495045988
socket bind sendmsg,2.400253322627815,2.229396009054139
socket getsockname,2.355768336364046,2.3290461470022947
socket getsockopt,2.3538300490601487,2.3855166555188463
perf_event_open perf_event_open,2.335983266545942,2.333333333333333
mkdir mkdir,2.31360327668841,2.4997742335809914
syz_open_procfs ioctl,2.2968706433108164,2.274273694248302
